Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-7>;RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO (V) = (III - IV);siconfi-cor_RREO3ReceitaCorrenteLiquidaAjustadaParaCalculoDosLimitesDeEndividamento;2523236973
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-7>;RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DA DESPESA COM PESSOAL (VII) = (V - VI);siconfi-cor_RREO3ReceitaCorrenteLiquidaAjustadaParaCalculoDosLimitesDaDespesaComPessoal;2523236973
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-6>;RECEITAS CORRENTES (I);siconfi-cor_ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;3751261693
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-6>;Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;2932421477
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-6>;ICMS;siconfi-cor_ICMSLiquidoExcetoTransferenciasEFUNDEB;2366769504
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-6>;IPVA;siconfi-cor_IPVALiquidoExcetoTransferenciasEFUNDEB;222923707,2
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-6>;ITCD;siconfi-cor_ITCDLiquidoExcetoTransferenciasEFUNDEB;53939937,58
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-6>;IRRF;siconfi-cor_IRRFLiquidoExcetoTransferenciasEFUNDEB;144714910,4
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-6>;Outros Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_OutrasReceitasTributarias;144073417,9
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-6>;Contribuições;siconfi-cor_RREO3ReceitaDeContribuicoes;82670991,19
